Resource Name,Resource Type,Control ID,Control Family,Control Title,Implementation Status,Implementation Level,Evidence Location,Configuration Details,Risk Level,Compliance Notes
aws_s3_bucket.app_storage,AWS S3 Bucket,SC-28,System and Communications Protection,Protection of Information at Rest,Implemented,Full,tf/s3.tf:7-20,"Server-side encryption with AES256, bucket tags for compliance tracking",High,Primary storage bucket with encryption at rest
aws_s3_bucket.app_storage,AWS S3 Bucket,SC-28(1),System and Communications Protection,Cryptographic Protection,Implemented,Full,tf/s3.tf:23-33,"AES256 encryption algorithm, bucket_key_enabled for performance",High,Cryptographic protection for all stored objects
aws_s3_bucket.app_storage,AWS S3 Bucket,AU-2,Audit and Accountability,Auditable Events,Implemented,Full,tf/s3.tf:48-54,"S3 access logging enabled, logs stored in dedicated bucket",Medium,All access events logged for audit trail
aws_s3_bucket.app_storage,AWS S3 Bucket,AU-9,Audit and Accountability,Protection of Audit Information,Implemented,Full,tf/s3.tf:48-54,"Audit logs protected in separate encrypted bucket",Medium,Audit information integrity maintained
aws_s3_bucket.app_storage,AWS S3 Bucket,CP-9,Contingency Planning,Information System Backup,Implemented,Full,tf/s3.tf:36-42,"Object versioning enabled for data recovery",High,Versioning provides backup and recovery capability
aws_s3_bucket.app_storage,AWS S3 Bucket,AC-6,Access Control,Least Privilege,Implemented,Full,tf/s3.tf:82-90,"Public access completely blocked, least privilege enforced",High,No public access allowed to sensitive data
aws_s3_bucket.logs,AWS S3 Bucket,AU-2,Audit and Accountability,Auditable Events,Implemented,Full,tf/s3.tf:56-71,"Dedicated bucket for storing access logs",Medium,Centralized audit log storage
aws_s3_bucket.logs,AWS S3 Bucket,AU-9,Audit and Accountability,Protection of Audit Information,Implemented,Full,tf/s3.tf:56-71,"Encrypted storage for audit logs with lifecycle management",Medium,Audit logs protected with encryption and retention
aws_s3_bucket.logs,AWS S3 Bucket,SC-28,System and Communications Protection,Protection of Information at Rest,Implemented,Full,tf/s3.tf:73-80,"AES256 encryption for audit logs",Medium,Audit logs encrypted at rest
aws_s3_bucket_server_side_encryption_configuration.app_storage,AWS S3 Encryption,SC-28,System and Communications Protection,Protection of Information at Rest,Implemented,Full,tf/s3.tf:23-33,"AES256 encryption by default, bucket key optimization",High,Enforces encryption for all objects
aws_s3_bucket_server_side_encryption_configuration.app_storage,AWS S3 Encryption,SC-28(1),System and Communications Protection,Cryptographic Protection,Implemented,Full,tf/s3.tf:23-33,"Cryptographic protection using industry standard AES256",High,Strong cryptographic algorithm implementation
aws_s3_bucket_server_side_encryption_configuration.logs,AWS S3 Encryption,SC-28,System and Communications Protection,Protection of Information at Rest,Implemented,Full,tf/s3.tf:73-80,"AES256 encryption for audit log bucket",Medium,Audit logs protected with encryption
